month,division,line,day_type,num_sched_trains,num_actual_trains,service delivered
2020-02-01,B DIVISION,Q,2,768,739,96.2239583
2020-02-01,B DIVISION,R,1,1881,1786,94.9494949
2020-02-01,B DIVISION,R,2,1200,1178,98.1666667
2020-02-01,B DIVISION,S Fkln,1,684,676,98.8304094
2020-02-01,B DIVISION,S Fkln,2,800,792,99
2020-02-01,B DIVISION,S Rock,1,418,419,100.2392344
2020-02-01,B DIVISION,S Rock,2,400,403,100.75
2020-02-01,B DIVISION,W,1,741,694,93.65722
2020-02-01,Systemwide,Systemwide,1,41232,39765,96.4420838
2020-02-01,Systemwide,Systemwide,2,27260,26624,97.6669112
2020-01-01,A DIVISION,1,2,958,952,99.3736952
2020-01-01,A DIVISION,1,1,1826,1773,97.0974808
2020-01-01,A DIVISION,2,1,2420,2322,95.9504132
2020-01-01,A DIVISION,2,2,1866,1836,98.392283
2020-01-01,A DIVISION,3,1,2244,2174,96.8805704
2020-01-01,A DIVISION,3,2,1280,1279,99.921875
2020-01-01,A DIVISION,4,1,3102,2965,95.5834945
2020-01-01,A DIVISION,4,2,1662,1616,97.2322503
2020-01-01,A DIVISION,5,2,962,947,98.4407484
2020-01-01,A DIVISION,5,1,2794,2693,96.385111
2020-01-01,A DIVISION,6,2,957,936,97.8056426
2020-01-01,A DIVISION,6,1,2266,2193,96.7784643
2020-01-01,A DIVISION,7,1,2931,2795,95.3599454
2020-01-01,A DIVISION,7,2,1168,1136,97.260274
2020-01-01,A DIVISION,S 42nd,2,1098,1093,99.5446266
2020-01-01,A DIVISION,S 42nd,1,2200,2133,96.9545455
2020-01-01,B DIVISION,A,1,2838,2712,95.5602537
2020-01-01,B DIVISION,A,2,1527,1465,95.9397511
2020-01-01,B DIVISION,B,1,1848,1796,97.1861472
2020-01-01,B DIVISION,C,1,1650,1614,97.8181818
2020-01-01,B DIVISION,C,2,1280,1186,92.65625
2020-01-01,B DIVISION,D,1,2002,1943,97.0529471
2020-01-01,B DIVISION,D,2,1528,1430,93.5863874
2020-01-01,B DIVISION,E,2,480,478,99.5833333
2020-01-01,B DIVISION,E,1,1716,1630,94.988345
2020-01-01,B DIVISION,F,2,880,876,99.5454545
2020-01-01,B DIVISION,F,1,3190,3080,96.5517241
2020-01-01,B DIVISION,G,2,1820,1787,98.1868132
2020-01-01,B DIVISION,G,1,990,979,98.8888889
2020-01-01,B DIVISION,JZ,2,716,703,98.1843575
2020-01-01,B DIVISION,JZ,1,1122,1105,98.4848485
2020-01-01,B DIVISION,L,2,384,386,100.5208333
2020-01-01,B DIVISION,L,1,2112,2086,98.7689394
2020-01-01,B DIVISION,M,2,960,945,98.4375
2020-01-01,B DIVISION,M,1,1980,1877,94.7979798
2020-01-01,B DIVISION,N,2,1407,1327,94.3141436
2020-01-01,B DIVISION,N,1,1980,1889,95.4040404
2020-01-01,B DIVISION,Q,2,1536,1499,97.5911458
2020-01-01,B DIVISION,Q,1,2266,2188,96.5578111
2020-01-01,B DIVISION,R,2,1280,1260,98.4375
2020-01-01,B DIVISION,R,1,2178,2058,94.4903581
2020-01-01,B DIVISION,S Fkln,1,792,792,100
2020-01-01,B DIVISION,S Fkln,2,704,702,99.7159091
2020-01-01,B DIVISION,S Rock,1,484,473,97.7272727
2020-01-01,B DIVISION,S Rock,2,448,446,99.5535714
2020-01-01,B DIVISION,W,1,858,817,95.2214452
2020-01-01,Systemwide,Systemwide,1,47789,46087,96.438511
2020-01-01,Systemwide,Systemwide,2,24901,24285,97.5262038
